date,product_id,units_sold,channel
2025-01-01,SKU-001,18,web
2025-01-01,SKU-002,9,web
2025-01-01,SKU-003,22,web
2025-01-01,SKU-004,6,web
2025-01-02,SKU-001,16,web
2025-01-02,SKU-002,7,web
2025-01-02,SKU-003,24,web
2025-01-02,SKU-004,5,web
2025-01-03,SKU-001,20,web
2025-01-03,SKU-002,10,web
2025-01-03,SKU-003,26,web
2025-01-03,SKU-004,7,web
2025-01-04,SKU-001,17,store
2025-01-04,SKU-002,8,store
2025-01-04,SKU-003,19,store
2025-01-04,SKU-004,5,store
2025-01-05,SKU-001,15,store
2025-01-05,SKU-002,7,store
2025-01-05,SKU-003,18,store
2025-01-05,SKU-004,4,store
2025-01-06,SKU-001,21,web
2025-01-06,SKU-002,11,web
2025-01-06,SKU-003,27,web
2025-01-06,SKU-004,8,web
2025-01-07,SKU-001,19,web
2025-01-07,SKU-002,10,web
2025-01-07,SKU-003,25,web
2025-01-07,SKU-004,7,web
2025-01-08,SKU-001,22,web
2025-01-08,SKU-002,12,web
2025-01-08,SKU-003,29,web
2025-01-08,SKU-004,9,web
2025-01-09,SKU-001,18,store
2025-01-09,SKU-002,9,store
2025-01-09,SKU-003,20,store
2025-01-09,SKU-004,6,store
2025-01-10,SKU-001,23,web
2025-01-10,SKU-002,13,web
2025-01-10,SKU-003,30,web
2025-01-10,SKU-004,9,web
2025-01-11,SKU-001,25,web
2025-01-11,SKU-002,14,web
2025-01-11,SKU-003,32,web
2025-01-11,SKU-004,10,web
2025-01-12,SKU-001,19,store
2025-01-12,SKU-002,9,store
2025-01-12,SKU-003,21,store
2025-01-12,SKU-004,6,store
2025-01-13,SKU-001,24,web
2025-01-13,SKU-002,13,web
2025-01-13,SKU-003,31,web
2025-01-13,SKU-004,9,web
2025-01-14,SKU-001,26,web
2025-01-14,SKU-002,15,web
2025-01-14,SKU-003,34,web
2025-01-14,SKU-004,11,web


